name,t90,ra,dec,z,
090429B,5.5,210.66688,32.17064,9.4,
90423,10.3,148.88871,18.14939,8.2,
120923A,27.2,303.79492,6.22119,8,
080913A,8,65.72775,-25.1295,6.7,
60116,35,84.69283,-5.43698,6.6,
50904,225,13.71221,14.08661,6.295,
120521C,26.7,214.28668,42.14478,6,
130606A,276.6,249.39662,29.7964,5.91,
60927,22.6,329.55008,5.36358,5.467,
50814,65,264.18912,46.33933,5.3,
71025,109,355.07116,31.77858,5.2,
050502B,7,142.54192,16.99625,5.2,
60522,69,322.93667,2.88621,5.11,
111008A,63.46,60.451,-32.70928,4.9898,
060510B,276,239.12167,78.57,4.9,
100302A,17.9,195.51542,74.59014,4.813,
100513A,84,169.61129,3.62789,4.8,
100219A,18.8,154.20217,-12.56656,4.6667,
90205,8.8,220.91104,-27.85297,4.6497,
120401A,100,58.08258,-17.63569,4.5,
131,50,93.37917,-51.94444,4.5,
060223A,11,55.2065,-17.1301,4.41,
080916C,66,119.84717,-56.63833,4.35,
80129,48,105.28404,-7.84628,4.349,
50505,60,141.76392,30.2735,4.27,
120712A,14.7,169.58846,-20.03383,4.1745,
090516A,210,138.26092,-11.85428,4.109,
60206,11,202.93092,35.051,4.059,
100518A,30,304.78917,-24.55456,4,
50730,155,212.07137,-3.77158,3.9693,
120909A,112,275.73633,-59.44836,3.93,
60210,255,57.73904,27.02622,3.9122,
90519,64,142.27917,0.18031,3.85,
81029,270,346.77233,-68.15548,3.8479,
81228,3,39.46225,30.85292,3.8,
120802A,50,44.84313,13.76867,3.796,
050502A,20,202.44304,42.67425,3.793,
60605,15,322.1555,-6.05869,3.773,
130408A,28,134.40542,-32.36081,3.758,
60906,43.6,40.7535,39.36164,3.6856,
070721B,340,33.13729,-2.19461,3.6298,
90323,150,190.70954,17.05322,3.57,
60115,142,54.03467,17.34531,3.5328,
980329,15,105.65842,38.84556,3.5,
51028,12,27.06254,47.75256,3.5,
061110B,128,323.91833,6.87614,3.4344,
971214,50,179.10979,65.21167,3.43,
60707,68,357.07917,-17.90472,3.424,
121201A,85,13.46738,-42.94289,3.385,
90313,78,198.40088,8.09717,3.375,
30323,25.05,166.53917,-21.77033,3.372,
80810,106,356.79375,0.31944,3.3604,
110818A,103,317.33769,-63.98119,3.36,
061222B,40,105.3525,-25.86,3.355,
50908,20,20.46146,-12.95478,3.3467,
50319,15,154.199,43.54858,3.2425,
60526,13.8,232.8265,0.2847,3.2213,
60926,8,263.93192,13.0385,3.2086,
80516,5.8,120.6415,-26.15933,3.2,
20124,45.91,143.21171,-11.51961,3.198,
100316A,7,251.97875,71.82708,3.155,
111123A,290,154.84642,-20.64472,3.1516,
120922A,173,234.7485,-20.18172,3.1,
091109A,48,309.25754,-44.15822,3.076,
060607A,100,329.71,-22.49631,3.0749,
081028A,260,121.89471,2.30808,3.038,
80607,79,194.94671,15.91969,3.0368,
121217A,778,153.71003,-62.35098,3,
90404,84,239.23967,35.51597,3,
090715B,266,251.33967,44.83897,3,
70411,101,107.33304,1.06461,2.954,
120118B,23.26,124.871,-7.18475,2.943,
51008,16,202.87313,42.09814,2.9,
60306,61,41.09546,-2.14833,2.9,
50401,38,247.87008,2.18745,2.8983,
111107A,26.6,129.47775,-66.52008,2.893,
120404A,38.7,235.0095,12.88503,2.876,
110731A,38.8,280.50412,-28.53717,2.83,
